emploi,entreprise,localisation,date_publication,temps_travail,salaire_annuel,categorie_salaire
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:17.943226,1,46500.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:21.581246,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:21.582250,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:37:21.582925,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:37:21.583914,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:37:21.584602,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:37:21.584953,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:37:21.585315,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:21.586316,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:37:21.588038,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:37:25.698684,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:37:25.699375,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:37:25.701062,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:37:25.702070,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:37:25.704409,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:37:25.704781,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:37:25.706171,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:37:25.706511,1,28224.0,0
